1. Código del centro de trabajo.,|,2. Nombre o descripción del centro de trabajo.,|,3. Dirección del centro de trabajo.,|,"4. Zona donde se ubica el centro de trabajo, si aplicara.",|,"5. Teléfonos, separados por guiones o diagonales",|,6. Fax.,|,7. Nombre del contacto en ese centro de trabajo.,|,8. Correo electrónico.,|,9. Departamento de la República donde se ubica.,|,10. Municipio de la República.,|,11. Código de actividad económica.,|,ARCHIVO DE TEXTO
35,|,NIPRO,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,35|NIPRO|GUATEMALA||23790700||||1|1|930900|
36,|,NIPRO ESCUINTLA,|,ESCUINTLA,|,,|,23790700,|,,|,,|,,|,5,|,1,|,930900,|,36|NIPRO ESCUINTLA|ESCUINTLA||23790700||||5|1|930900|
37,|,NIPRO JUTIAPA,|,JUTIAPA,|,,|,23790700,|,,|,,|,,|,22,|,1,|,930900,|,37|NIPRO JUTIAPA|JUTIAPA||23790700||||22|1|930900|
38,|,NIPRO MIXCO,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,8,|,930900,|,38|NIPRO MIXCO|GUATEMALA||23790700||||1|8|930900|
39,|,NIPRO MAZATENANGO,|,MAZATENANGO,|,,|,23790700,|,,|,,|,,|,10,|,1,|,930900,|,39|NIPRO MAZATENANGO|MAZATENANGO||23790700||||10|1|930900|
40,|,NIPRO SANTA ROSA,|,SANTA ROSA,|,,|,23790700,|,,|,,|,,|,6,|,1,|,930900,|,40|NIPRO SANTA ROSA|SANTA ROSA||23790700||||6|1|930900|
41,|,NIPRO XELA,|,XELA,|,,|,23790700,|,,|,,|,,|,9,|,1,|,930900,|,41|NIPRO XELA|XELA||23790700||||9|1|930900|
42,|,GALLO ZONA 2 BODEGA,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,42|GALLO ZONA 2 BODEGA|GUATEMALA||23790700||||1|1|930900|
43,|,POLLO PINULITO,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,43|POLLO PINULITO|GUATEMALA||23790700||||1|1|930900|
44,|,CERVECERIA GALLO (LIVINGSTON),|,LIVINGSTON,|,,|,23790700,|,,|,,|,,|,18,|,2,|,930900,|,44|CERVECERIA GALLO (LIVINGSTON)|LIVINGSTON||23790700||||18|2|930900|
45,|,ECOMSA ,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,45|ECOMSA |GUATEMALA||23790700||||1|1|930900|
46,|,"DISTRIBUIDORA MARAVILLA, S.A. (ZONA 18)",|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,"46|DISTRIBUIDORA MARAVILLA, S.A. (ZONA 18)|GUATEMALA||23790700||||1|1|930900|"
